name,smiles,family,mw,logp,hbd,hba,rotbonds,arom_rings,total_rings,tpsa,heavy_atoms,frac_csp3,mol_refractivity,nhoh,no_count,planarity_score,pi_extent,fp_density,fluoro_substitution,space_uv_factor,bandgap_ev,abs_efficiency
Benzimidazole,c1ccc2[nH]cnc2c1,rad_hard,118.13899999999998,1.5629,1,1,0,2,2,28.68,9,0.0,36.0937,1,2,1.0,12,0.037109375,0.0,0.0,1.7,0.62
Polyimide_unit,O=C1OC(=O)c2ccccc21,rad_hard,148.11699999999996,0.9972,0,3,0,1,2,43.370000000000005,11,0.0,36.18800000000001,0,3,0.5454545454545454,10,0.02734375,0.0,0.0,1.9,0.66
PTFE_unit,C(F)(F)=C(F)F,rad_hard,100.01400000000001,1.991,0,0,0,0,0,0.0,6,0.0,11.458000000000002,0,0,0.0,0,0.009765625,0.0,0.0,0.3,0.2
Diamond_unit,C12CC3CC(CC(C3)C1)C2,rad_hard,136.238,2.832600000000001,0,0,0,0,4,0.0,10,1.0,41.66200000000001,0,0,0.0,16,0.01171875,0.0,0.0,1.2,0.5
MAI_cation,C[NH3+],perovskite,32.066,-1.1419000000000001,1,0,0,0,0,27.64,2,1.0,8.8121,3,1,0.0,0,0.005859375,0.0,0.0,0.5,0.3
FA_cation,NC(=N)N,perovskite,59.071999999999996,-1.1614300000000002,3,1,0,0,0,75.89,4,0.0,16.1015,5,3,0.0,0,0.01171875,0.0,0.0,0.8,0.4
Rhodamine_B,CCN(CC)c1ccc2c(c1)OC1=CC(=[N+](CC)CC)C=CC1=C2c1ccccc1C(=O)O,dye,443.5670000000002,5.561000000000005,1,3,7,2,4,56.69,33,0.2857142857142857,135.14329999999998,1,5,0.6060606060606061,20,0.1015625,0.0,0.0,2.9,0.82
C60_unit,C12=C3C4=C5C1=C1C6=C7C2=C2C8=C3C3=C9C4=C4C%10=C5C5=C1C1=C6C6=C%11C7=C2C2=C7C8=C3C3=C8C9=C4C4=C9C%10=C5C5=C1C1=C6C%11=C2C7=C3C8=C4C9=C51,fullerene,600.5500000000002,14.775000000000007,0,0,0,26,26,0.0,50,0.0,217.30000000000015,0,0,1.0,156,0.005859375,0.0,0.0,3.5,0.88
Pentacene_aug0,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,279.73432124503194,6.59659356023761,0,0,0,5,5,0.0,22,0.0,96.46600000000004,0,0,0.9711515763473776,30,0.020064805473604064,0.9647,0.025,2.8601,0.9057
Pentacene_aug1,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,276.2581785134679,6.333128701941291,0,0,0,5,5,0.0,22,0.0,96.46600000000004,0,0,1.0,30,0.02520847016472743,0.977,0.0037,2.8405,0.8437
Pentacene_aug2,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,284.58010073164127,6.486625638364217,0,0,0,5,5,0.0,22,0.01969467621086396,96.46600000000004,0,0,0.950668244602332,30,0.011088261176063506,0.8416,-0.0697,2.7481,0.867
Pentacene_aug3,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,284.1662067113796,6.094316639644214,0,0,0,5,5,0.0,22,0.04083635062981157,96.46600000000004,0,0,0.9775382268419488,30,0.02066094259905449,0.8778,-0.0997,2.7232,0.8756
Pentacene_aug4,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,310.1421439722352,6.35691816902626,0,0,0,5,5,0.0,22,0.016398442186084713,96.46600000000004,0,0,0.9966611351017115,30,0.018328544454948324,0.9548,0.0182,2.8518,0.8185
Pentacene_aug5,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,274.51059914457926,6.414194468607452,0,0,0,5,5,0.0,22,0.01700172103130622,96.46600000000004,0,0,0.9926459885483555,30,0.06673586559817675,0.653,-0.0489,2.7426,0.8873
Pentacene_aug6,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,273.20592152084527,6.680248917987813,0,0,0,5,5,0.0,22,0.0091291167079334,96.46600000000004,0,0,1.0,30,0.025811163807968565,0.0379,-0.0177,2.6876,0.8698
Pentacene_aug7,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,286.1595871525008,6.481325026517623,0,0,0,5,5,0.0,22,0.0,96.46600000000004,0,0,0.9993252676255134,30,0.03234444219511764,0.255,-0.0492,2.6865,0.7916
Tetracene_aug0,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,240.56675679859785,5.518983168482826,0,0,0,4,4,0.0,18,0.0,78.96000000000002,0,0,1.0,24,0.018612370132130247,0.9341,0.0355,2.5663,0.8346
Tetracene_aug1,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,221.78691533301773,5.153206073693857,0,0,0,4,4,0.0,18,0.0,78.96000000000002,0,0,1.0,24,0.053487762928240756,0.4698,0.0074,2.4732,0.7861
Tetracene_aug2,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,238.77081197077007,4.970126849005449,0,0,0,4,4,0.0,18,0.010185639381730812,78.96000000000002,0,0,0.9769960829764808,24,0.01,0.4887,-0.0022,2.4662,0.834
Tetracene_aug3,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,254.09581145018643,5.079989690521501,0,0,0,4,4,0.0,18,0.023939596659818003,78.96000000000002,0,0,0.9959572959288077,24,0.06490192674725388,0.864,0.0091,2.53,0.8246
Tetracene_aug4,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,201.8013860223118,4.946260340056366,0,0,0,4,4,0.0,18,0.0,78.96000000000002,0,0,0.997103570610792,24,0.010654827317521764,0.7769,0.0268,2.5356,0.8041
Tetracene_aug5,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,251.60206128731915,5.399254787860471,0,0,0,4,4,0.0,18,0.025179998166152302,78.96000000000002,0,0,0.9751613495203088,24,0.04222940014327616,0.7015,0.0065,2.5047,0.8625
Tetracene_aug6,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,216.18457237958154,5.164928540162804,0,0,0,4,4,0.0,18,0.034868388781890115,78.96000000000002,0,0,1.0,24,0.014001669413409246,0.3731,-0.0384,2.4139,0.7997
Tetracene_aug7,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,252.00989800941935,5.369229161847621,0,0,0,4,4,0.0,18,0.0,78.96000000000002,0,0,1.0,24,0.0295579757501792,0.315,-0.0089,2.4352,0.8265
Hexacene_aug0,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,297.7472978178161,7.609973843130345,0,0,0,6,6,0.0,26,0.014759061172763571,113.97200000000004,0,0,1.0,36,0.01,0.6096,-0.084,3.0013,0.9306
Hexacene_aug1,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,339.9592467730161,7.525297717105855,0,0,0,6,6,0.0,26,0.0,113.97200000000004,0,0,1.0,36,0.01,0.4464,-0.0074,3.0551,0.9227
Hexacene_aug2,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,343.42949898416776,7.405220511982327,0,0,0,6,6,0.0,26,0.0006116385947395694,113.97200000000004,0,0,0.9911908822287219,36,0.01,0.9661,-0.034,3.1012,0.8947
Hexacene_aug3,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,306.0173917935336,7.811344029224575,0,0,0,6,6,0.0,26,0.061516654403636926,113.97200000000004,0,0,0.9992569472237497,36,0.01,0.5227,0.0442,3.1174,0.8907
Hexacene_aug4,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,317.89664043928923,7.602954366463238,0,0,0,6,6,0.0,26,0.0,113.97200000000004,0,0,0.9888554578957381,36,0.050884059848480406,0.9061,0.0397,3.1666,0.8687
Hexacene_aug5,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,347.8344035125617,7.367990576094851,0,0,0,6,6,0.0,26,0.011875114984876834,113.97200000000004,0,0,0.9955793382235485,36,0.01,0.3541,0.0388,3.0884,0.9209
Hexacene_aug6,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,313.4378468596313,7.605346815306527,0,0,0,6,6,0.0,26,0.0,113.97200000000004,0,0,0.9904275103991032,36,0.024474229498222137,0.0039,-0.0456,2.955,0.9023
Hexacene_aug7,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,301.93555847317,7.042649636915492,0,0,0,6,6,0.0,26,0.0,113.97200000000004,0,0,0.9921009685707185,36,0.015506986275746967,0.8682,-0.0466,3.0749,0.8745
Rubrene_unit_aug0,c1ccc(-c2cc3ccccc3cc2)cc1,acene,196.46128975990385,4.799402007037952,0,0,1,3,3,0.0,16,0.0,69.38400000000004,0,0,0.99680853871859,18,0.041711512979516134,0.1312,-0.0633,3.0551,0.9031
Rubrene_unit_aug1,c1ccc(-c2cc3ccccc3cc2)cc1,acene,229.95278244726364,4.902157095989704,0,0,1,3,3,0.0,16,0.0,69.38400000000004,0,0,0.9801647012923073,18,0.0492845524977664,0.0191,-0.044,3.0587,0.9011
Rubrene_unit_aug2,c1ccc(-c2cc3ccccc3cc2)cc1,acene,230.9202104386534,4.824642474362987,0,0,1,3,3,0.0,16,0.0016033192823624817,69.38400000000004,0,0,0.9426847862974725,18,0.027456019105886104,0.172,-0.0555,3.0686,0.8285
Rubrene_unit_aug3,c1ccc(-c2cc3ccccc3cc2)cc1,acene,183.97649931209946,4.9909765761258535,0,0,1,3,3,0.0,16,0.0,69.38400000000004,0,0,0.9747045921380946,18,0.03531395596149163,0.2924,-0.0847,3.0562,0.8634
Rubrene_unit_aug4,c1ccc(-c2cc3ccccc3cc2)cc1,acene,214.54918934834524,4.776007007294396,0,0,1,3,3,0.0,16,0.0,69.38400000000004,0,0,1.0,18,0.02322297650756365,0.055,0.0354,3.1431,0.864
Rubrene_unit_aug5,c1ccc(-c2cc3ccccc3cc2)cc1,acene,194.17639245798784,4.313899466619784,0,0,1,3,3,0.0,16,0.02568255247671261,69.38400000000004,0,0,0.9843849950223653,18,0.08663758750909345,0.4574,-0.0706,3.0934,0.8678
Rubrene_unit_aug6,c1ccc(-c2cc3ccccc3cc2)cc1,acene,187.49631139755817,4.271514913177295,0,0,1,3,3,0.0,16,0.04018477351357471,69.38400000000004,0,0,1.0,18,0.05565581881649836,0.7558,0.0493,3.2551,0.8678
Rubrene_unit_aug7,c1ccc(-c2cc3ccccc3cc2)cc1,acene,201.80807171884095,4.389032345302781,0,0,1,3,3,0.0,16,0.0,69.38400000000004,0,0,1.0,18,0.024374050937506053,0.6316,0.0056,3.194,0.8489
Chrysene_aug0,c1ccc2cc3ccccc3cc2c1,PAH,174.9984901760895,3.974661025281938,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,0.9651188910728377,18,0.021173743280766513,0.986,-0.0531,2.585,0.7828
Chrysene_aug1,c1ccc2cc3ccccc3cc2c1,PAH,193.48202762588724,4.122266051951528,0,0,0,3,3,0.0,14,0.0647941506958701,61.45400000000003,0,0,1.0,18,0.01,0.0338,-0.0701,2.4346,0.7391
Chrysene_aug2,c1ccc2cc3ccccc3cc2c1,PAH,172.01337366576905,4.128512084058461,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,1.0,18,0.02856618124807053,0.6314,-0.0313,2.5571,0.7989
Chrysene_aug3,c1ccc2cc3ccccc3cc2c1,PAH,156.76748161599562,4.360186400049762,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,1.0,18,0.016902585127357525,0.5736,-0.0987,2.4816,0.7438
Chrysene_aug4,c1ccc2cc3ccccc3cc2c1,PAH,193.72663708806388,3.6232629397023266,0,0,0,3,3,0.0,14,0.030062063359536182,61.45400000000003,0,0,1.0,18,0.02750208262983458,0.1241,-0.0607,2.4567,0.777
Chrysene_aug5,c1ccc2cc3ccccc3cc2c1,PAH,180.697753065426,3.7768350885765223,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,0.9987222162756036,18,0.01087200562967086,0.5042,0.0334,2.6039,0.8122
Chrysene_aug6,c1ccc2cc3ccccc3cc2c1,PAH,170.8430587053091,4.103363830949006,0,0,0,3,3,0.0,14,0.024221766146745333,61.45400000000003,0,0,0.9849023535489129,18,0.03564277356576327,0.2077,0.0003,2.5294,0.8377
Chrysene_aug7,c1ccc2cc3ccccc3cc2c1,PAH,188.4908262358347,4.075131794753135,0,0,0,3,3,0.0,14,0.00945537100344959,61.45400000000003,0,0,1.0,18,0.022569675258387167,0.339,-0.0019,2.5456,0.8046
Pyrene_aug0,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,202.73634516481334,4.898194343403915,0,0,0,4,4,0.0,16,0.0,70.14600000000003,0,0,0.9726276870247252,24,0.01,0.412,-0.0871,2.5706,0.8175
Pyrene_aug1,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,189.1246946354983,4.798068117409737,0,0,0,4,4,0.0,16,0.015374716866173466,70.14600000000003,0,0,0.9684716111520878,24,0.01,0.4251,-0.0726,2.587,0.7591
Pyrene_aug2,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,218.61540861587713,4.217587490379444,0,0,0,4,4,0.0,16,0.046340838667984906,70.14600000000003,0,0,1.0,24,0.01,0.5153,-0.0329,2.6392,0.7913
Pyrene_aug3,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,225.5205120852552,4.7830841341982095,0,0,0,4,4,0.0,16,0.0,70.14600000000003,0,0,1.0,24,0.04142328629095059,0.9314,-0.031,2.6994,0.789
Pyrene_aug4,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,206.34475467948909,4.9223638304719435,0,0,0,4,4,0.0,16,0.0,70.14600000000003,0,0,0.9891186039553418,24,0.016614601579959767,0.3611,-0.087,2.5636,0.7947
Pyrene_aug5,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,218.93744190088856,4.789602302726284,0,0,0,4,4,0.0,16,0.0,70.14600000000003,0,0,1.0,24,0.01131414250391566,0.9286,0.0386,2.7686,0.8304
Pyrene_aug6,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,214.9949085251786,4.637742580883068,0,0,0,4,4,0.0,16,0.03805490546713944,70.14600000000003,0,0,0.9916756721912405,24,0.02063409117578872,0.6456,-0.0636,2.6268,0.8104
Pyrene_aug7,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,218.79070445234856,4.782522443109102,0,0,0,4,4,0.0,16,0.02721747422543581,70.14600000000003,0,0,0.9574503734318078,24,0.041141716214673905,0.3599,-0.0398,2.6106,0.7838
Triphenylene_aug0,c1ccc2cc3ccccc3cc2c1,PAH,183.22349680160013,4.217643201347225,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,1.0,18,0.07081306259744691,0.9844,-0.0469,2.8909,0.7896
Triphenylene_aug1,c1ccc2cc3ccccc3cc2c1,PAH,183.2247521652208,4.062900763217078,0,0,0,3,3,0.0,14,0.0009320990002051459,61.45400000000003,0,0,0.9844104574613247,18,0.0178878742402571,0.8782,-0.0757,2.8472,0.8293
Triphenylene_aug2,c1ccc2cc3ccccc3cc2c1,PAH,174.44874964333277,4.053058367853217,0,0,0,3,3,0.0,14,0.0570287903172083,61.45400000000003,0,0,1.0,18,0.01,0.7956,0.0186,2.93,0.843
Triphenylene_aug3,c1ccc2cc3ccccc3cc2c1,PAH,148.44286384601364,4.202838104071092,0,0,0,3,3,0.0,14,0.005753037009482197,61.45400000000003,0,0,1.0,18,0.03622797151981917,0.1901,-0.0045,2.8221,0.8147
Triphenylene_aug4,c1ccc2cc3ccccc3cc2c1,PAH,175.31432251085602,4.3245978999773405,0,0,0,3,3,0.0,14,0.02197936720310664,61.45400000000003,0,0,1.0,18,0.019294927946508274,0.7458,-0.0218,2.8826,0.8333
Triphenylene_aug5,c1ccc2cc3ccccc3cc2c1,PAH,213.3965233663545,3.952219459943533,0,0,0,3,3,0.0,14,0.04357315500000806,61.45400000000003,0,0,0.9681713471758976,18,0.01,0.4871,0.0402,2.9084,0.7945
Triphenylene_aug6,c1ccc2cc3ccccc3cc2c1,PAH,196.06232400308713,4.263199212667108,0,0,0,3,3,0.0,14,0.05512238872090387,61.45400000000003,0,0,1.0,18,0.01,0.5372,0.0202,2.8954,0.8256
Triphenylene_aug7,c1ccc2cc3ccccc3cc2c1,PAH,180.84926117632872,4.007837874255144,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,0.9780725603872759,18,0.01,0.638,0.0054,2.8948,0.7882
Fluorene_aug0,c1ccc2c(c1)Cc1ccccc1-2,PAH,142.53442226565383,3.331175123803196,0,0,0,2,3,0.0,13,0.09565620413925066,54.684000000000026,0,0,0.9401675006990404,16,0.03031896755474917,0.137,-0.0082,2.011,0.7464
Fluorene_aug1,c1ccc2c(c1)Cc1ccccc1-2,PAH,146.56884043778342,3.460244202343974,0,0,0,2,3,0.0,13,0.05395684296982652,54.684000000000026,0,0,0.9287972382433545,16,0.021412831574074635,0.4196,0.0451,2.1038,0.6563
Fluorene_aug2,c1ccc2c(c1)Cc1ccccc1-2,PAH,162.0610124025096,3.2859642288923983,0,0,0,2,3,0.0,13,0.02620732301708025,54.684000000000026,0,0,0.9376190229448236,16,0.018614399803827588,0.2563,-0.0877,1.9481,0.6942
Fluorene_aug3,c1ccc2c(c1)Cc1ccccc1-2,PAH,158.91333547814847,3.47700378148347,0,0,0,2,3,0.0,13,0.11589783708982304,54.684000000000026,0,0,0.9126191490656486,16,0.014988628062856503,0.145,-0.0256,1.9947,0.6628
Fluorene_aug4,c1ccc2c(c1)Cc1ccccc1-2,PAH,173.12633671938053,3.142506793408508,0,0,0,2,3,0.0,13,0.06279883254113329,54.684000000000026,0,0,0.9403745827025269,16,0.01292068839375332,0.9103,-0.0245,2.103,0.7264
Fluorene_aug5,c1ccc2c(c1)Cc1ccccc1-2,PAH,137.67456947513648,2.950780560159399,0,0,0,2,3,0.0,13,0.10273122690220252,54.684000000000026,0,0,0.9190478864210818,16,0.016572942946630496,0.1322,-0.0125,2.006,0.7376
Fluorene_aug6,c1ccc2c(c1)Cc1ccccc1-2,PAH,171.76739807141584,3.196698934334658,0,0,0,2,3,0.0,13,0.07952693398691454,54.684000000000026,0,0,0.8934926752629623,16,0.038532747918832405,0.4541,-0.0579,2.0057,0.6502
Fluorene_aug7,c1ccc2c(c1)Cc1ccccc1-2,PAH,152.93412757486496,3.246826311670088,0,0,0,2,3,0.0,13,0.020163186909028318,54.684000000000026,0,0,0.9033498995709437,16,0.01,0.9022,-0.0784,2.0479,0.6849
Coronene_aug0,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,265.4873341474354,7.068549825012867,0,0,0,7,7,0.0,24,0.0,105.03600000000007,0,0,0.9956934445086119,42,0.026693763062732488,0.7636,0.0379,3.7448,0.918
Coronene_aug1,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,280.934500599323,6.5494834735672365,0,0,0,7,7,0.0,24,0.0,105.03600000000007,0,0,1.0,42,0.059849750264742464,0.2778,-0.027,3.6119,0.9381
Coronene_aug2,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,296.49113377327774,6.850252125155273,0,0,0,7,7,0.0,24,0.04740580955550963,105.03600000000007,0,0,1.0,42,0.013565570848112317,0.6887,-0.0733,3.6231,0.9607
Coronene_aug3,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,305.2683551333403,6.980331031156,0,0,0,7,7,0.0,24,0.0,105.03600000000007,0,0,0.9279660111064802,42,0.024424119568350222,0.498,-0.0964,3.5733,0.9106
Coronene_aug4,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,295.58137566239793,6.875474340199996,0,0,0,7,7,0.0,24,0.05240656001474016,105.03600000000007,0,0,1.0,42,0.030143908445090718,0.527,-0.0664,3.6074,0.9179
Coronene_aug5,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,301.923054284538,6.739146452055644,0,0,0,7,7,0.0,24,0.0,105.03600000000007,0,0,0.9979243262661844,42,0.01,0.452,-0.0265,3.6368,0.9033
Coronene_aug6,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,307.3841366646659,7.159629935077879,0,0,0,7,7,0.0,24,0.0,105.03600000000007,0,0,1.0,42,0.01,0.3201,0.0322,3.677,0.8953
Coronene_aug7,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,278.8927592550757,6.536831213877883,0,0,0,7,7,0.0,24,0.0,105.03600000000007,0,0,0.9586512464365826,42,0.01,0.0201,-0.0845,3.5184,0.916
Perylene_aug0,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,215.59281496492753,3.0841292353300935,0,0,0,2,4,0.0,19,0.048329364797801554,79.44900000000001,0,0,0.631889011268286,20,0.07286278000697755,0.9189,0.0229,3.1515,0.8093
Perylene_aug1,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,227.10451610604628,2.653224780930694,0,0,0,2,4,0.0,19,0.0684482506643873,79.44900000000001,0,0,0.6578829749212932,20,0.0645820928607018,0.9124,-0.0089,3.1189,0.8345
Perylene_aug2,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,236.57007720615553,2.2593660350086866,0,0,0,2,4,0.0,19,0.017087902282997183,79.44900000000001,0,0,0.6626439345642056,20,0.046055030814316625,0.0342,-0.0806,2.9242,0.8657
Perylene_aug3,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,258.63582993347427,2.502518733233048,0,0,0,2,4,0.0,19,0.08373301091918475,79.44900000000001,0,0,0.666767407941461,20,0.0571182643755406,0.8499,-0.0588,3.0602,0.8367
Perylene_aug4,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,263.8493349099948,3.086080238232935,0,0,0,2,4,0.0,19,0.03768221354950518,79.44900000000001,0,0,0.6463123098494248,20,0.07331513788347901,0.9775,-0.0453,3.0915,0.8959
Perylene_aug5,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,237.77103061953989,2.6473442151118616,0,0,0,2,4,0.0,19,0.0,79.44900000000001,0,0,0.6117237440464446,20,0.031580719636556134,0.7786,0.0258,3.1348,0.8661
Perylene_aug6,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,242.1233944911594,2.487472845773642,0,0,0,2,4,0.0,19,0.07906583432336173,79.44900000000001,0,0,0.6424419089088,20,0.07226201228600054,0.2739,-0.0628,2.9756,0.8023
Perylene_aug7,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,232.3852186955923,2.6878185220034383,0,0,0,2,4,0.0,19,0.05583978591550537,79.44900000000001,0,0,0.6058309028801959,20,0.03996540398538858,0.7359,-0.0723,3.0308,0.8377
P3HT_unit_aug0,CCCCCCc1ccc(s1),donor,215.75847356661188,3.949911311701688,0,1,5,1,1,0.0,11,0.5572520299958358,52.16500000000004,0,0,0.5027277558264849,6,0.05376974831880893,0.7394,-0.0132,2.1903,0.7315
P3HT_unit_aug1,CCCCCCc1ccc(s1),donor,155.94944313683092,3.5339889895579413,0,1,5,1,1,0.0,11,0.6319796220370959,52.16500000000004,0,0,0.46663445733783004,6,0.018519152053626847,0.5408,-0.0008,2.1749,0.7308
P3HT_unit_aug2,CCCCCCc1ccc(s1),donor,177.63046803255344,3.812953025274665,0,1,5,1,1,0.0,11,0.5834076137046393,52.16500000000004,0,0,0.4688960405609631,6,0.018108148072446314,0.2642,0.0307,2.1677,0.7325
