compound,smiles,logS,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms
heptane,CCCCCCC,-4.5,100.205,2.976700000000002,0,0,0.0,4,0,0,7,34.432999999999986,1.0,0,19.219280948873624,5.535533905932738,3.414213562373095,7.0,6.0,46.92890371420919,0
octane,CCCCCCCC,-5.18,114.232,3.3668000000000022,0,0,0.0,5,0,0,8,39.05,1.0,0,25.019550008653873,6.242640687119286,3.914213562373095,8.0,7.0,53.293845828605804,0
decane,CCCCCCCCCC,-7.0,142.286,4.147000000000004,0,0,0.0,7,0,0,10,48.28400000000003,1.0,0,40.0,7.6568542494923815,4.914213562373096,10.0,9.0,66.02373005739904,0
methanol,CO,1.41,32.042,-0.3915,1,1,20.23,0,0,0,2,8.1428,1.0,0,2.0,2.0,1.0,1.96,0.9600000000000016,13.533484780025564,1
ethanol,CCO,0.79,46.069,-0.0014000000000000123,1,1,20.23,0,0,0,3,12.759800000000002,1.0,0,2.7548875021634682,2.7071067811865475,1.4142135623730951,2.9600000000000004,1.96,19.89842689442217,1
1-propanol,CCCO,0.3,60.096,0.3887,1,1,20.23,1,0,0,4,17.376800000000003,1.0,0,5.245112497836532,3.414213562373095,1.914213562373095,3.9600000000000004,2.9600000000000004,26.26336900881878,1
2-propanol,CC(O)C,0.4,60.096000000000004,0.3871,1,1,20.23,0,0,0,4,17.3548,1.0,0,8.0,3.5773502691896257,1.7320508075688772,3.9600000000000004,1.297837837837838,26.263369008818778,1
1-butanol,CCCCO,0.0,74.12299999999999,0.7787999999999999,1,1,20.23,2,0,0,5,21.993799999999997,1.0,0,11.119415478763749,4.121320343559642,2.414213562373095,4.960000000000001,3.9600000000000004,32.62831112321538,1
1-pentanol,CCCCCO,0.13,88.14999999999999,1.1689,1,1,20.23,3,0,0,6,26.61079999999999,1.0,0,15.900134529890124,4.82842712474619,2.914213562373095,5.959999999999999,4.960000000000001,38.99325323761199,1
1-hexanol,CCCCCCO,-0.68,102.17699999999999,1.559,1,1,20.23,4,0,0,7,31.22779999999998,1.0,0,23.360990398949916,5.535533905932738,3.414213562373095,6.96,5.959999999999999,45.35819535200859,1
1-heptanol,CCCCCCCO,-1.16,116.204,1.9491,1,1,20.23,5,0,0,8,35.84479999999999,1.0,0,29.368065554250645,6.242640687119286,3.914213562373095,7.96,6.96,51.723137466405205,1
1-octanol,CCCCCCCCO,-1.67,130.23100000000002,2.3392000000000013,1,1,20.23,6,0,0,9,40.461800000000004,1.0,0,37.832293921787276,6.949747468305834,4.414213562373095,8.960000000000003,7.960000000000003,58.08807958080182,1
acetone,CC(C)=O,0.88,58.080000000000005,0.5952999999999999,0,1,17.07,0,0,0,4,16.355,0.6666666666666666,0,26.264662506490403,3.5773502691896257,1.7320508075688772,3.67,1.0445318352059925,25.63065735666653,1
acetic acid,CC(=O)O,1.11,60.05200000000001,0.09089999999999993,1,1,37.3,0,0,0,4,13.309800000000001,0.5,0,27.019550008653873,3.5773502691896257,1.7320508075688772,3.4699999999999998,0.8748582995951415,24.059948994465934,2
urea,NC(N)=O,1.39,60.056,-0.9762000000000002,2,1,69.11,0,0,0,4,13.7708,0.0,0,29.019550008653873,3.5773502691896257,1.7320508075688772,3.2700000000000005,0.7105286343612336,23.580554521898744,3
glycine,NCC(=O)O,0.99,75.067,-0.9702999999999999,2,2,63.32000000000001,1,0,0,5,16.6902,0.5,0,42.91260938324327,4.284457050376173,2.270055610029662,4.43,1.7215451895043727,29.39983969147865,3
alanine,CC(N)C(=O)O,0.62,89.09399999999998,-0.5817999999999999,2,2,63.32000000000001,1,0,0,6,21.285200000000003,0.6666666666666666,0,59.813537528125096,5.1547005383792515,2.6427344100918364,5.43,1.7676338396942162,35.76478180587526,3
leucine,CC(C)CC(N)C(=O)O,-0.42,131.175,0.44439999999999996,2,2,63.32000000000001,3,0,0,9,35.06619999999998,0.8333333333333334,0,101.23098268032228,7.439157588755425,4.036581260209188,8.43,3.454517317421779,54.859608149065075,3
phenylalanine,NC(Cc1ccccc1)C(=O)O,-1.05,165.19199999999995,0.641,2,2,63.32000000000001,3,1,1,12,45.75720000000002,0.2222222222222222,0,258.4908622767174,8.974691494688164,5.698377302757663,8.743896713615024,3.8752009284976325,70.82187601193928,3
glucose,OCC1OC(O)C(O)C(O)C1O,0.34,180.156,-3.2214000000000005,5,6,110.38000000000001,1,0,1,12,35.986,1.0,1,146.2188491003481,9.300964908321225,5.574586062669973,9.845034013605442,3.6489161032347726,68.64284443677029,6
sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,0.61,342.297,-5.395599999999993,8,11,189.52999999999997,5,0,2,23,68.64140000000003,1.0,2,393.2032272794937,17.361442840636293,10.806896738665586,18.89235232228663,7.207281294562587,130.4364576852225,11
acetonitrile,CC#N,0.32,41.053,0.52988,0,1,23.79,0,0,0,3,11.287,0.5,0,24.264662506490403,2.7071067811865475,1.4142135623730951,2.490000000000001,1.4900000000000018,19.496772823694872,1
dimethyl sulfoxide,CS(C)=O,0.54,78.136,-0.005299999999999971,0,1,17.07,0,0,0,4,19.990399999999998,1.0,0,29.019550008653873,3.5773502691896257,1.7320508075688772,4.150000000000002,1.4674603174603182,28.478447345802074,2
diethyl ether,CCOCC,-1.11,74.123,1.0428000000000002,0,1,9.23,2,0,0,5,22.166999999999994,1.0,0,11.119415478763749,4.121320343559642,2.414213562373095,4.960000000000001,3.9600000000000004,32.94762260052625,1
tetrahydrofuran,C1CCOC1,-0.16,72.107,0.7968,0,1,9.23,0,0,1,5,20.052999999999997,1.0,1,15.219280948873621,3.5355339059327378,2.5,3.1616129032258065,1.4103121748178982,31.941791446997026,1
chloroform,ClC(Cl)Cl,-1.42,119.37800000000001,1.9864,0,0,0.0,0,0,0,4,21.346999999999998,1.0,0,8.0,3.5773502691896257,1.7320508075688772,4.87,2.128397932816538,39.64904970847457,3
dichloromethane,ClCCl,-1.64,84.93299999999999,1.4215,0,0,0.0,0,0,0,3,16.573,1.0,0,2.7548875021634682,2.7071067811865475,1.4142135623730951,3.5799999999999996,2.58,29.3457834815929,2
carbon tetrachloride,ClC(Cl)(Cl)Cl,-2.16,153.823,2.5529,0,0,0.0,0,0,0,5,26.143,1.0,0,19.11941547876375,4.5,2.0,6.16,1.7418482569208207,49.952315935356246,4
trichloroethylene,ClC(=CCl)Cl,-2.31,131.389,2.5017000000000005,0,0,0.0,0,0,0,5,25.642,0.0,0,42.854752972273346,4.284457050376173,2.270055610029662,5.609999999999999,2.826919739696312,45.324388790686925,3
atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,-2.61,215.68800000000002,1.7770999999999997,2,5,62.730000000000004,4,1,1,14,57.75940000000002,0.625,0,301.78315486014867,10.55204176387779,6.613392202930193,10.977519379844964,4.95024333881867,88.3180482284173,6
lindane,ClC1CC(Cl)C(Cl)C(Cl)C1Cl,-3.72,256.387,3.427100000000001,0,0,0.0,0,0,1,11,52.822000000000024,1.0,1,124.93433232624652,8.593858127134677,5.036581260209188,10.530321285140563,4.106267189924549,91.07446158069172,5
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-3.1,206.28499999999997,3.073200000000001,1,1,37.3,4,1,1,15,61.03480000000004,0.46153846153846156,0,324.8941190021566,11.422285251880869,7.002907755397974,11.763046018991963,4.964460295417243,90.94175377251302,2
acetaminophen,CC(=O)Nc1ccc(O)cc1,0.07,151.165,1.3505999999999998,2,2,49.33,1,1,1,11,42.41050000000002,0.125,0,253.29949758389105,8.267584713501616,5.1815405503520555,7.595374077976819,3.0531381005525,64.66690538413799,3
dimethylformamide,CN(C)C=O,0.12,73.095,-0.2956000000000001,0,1,20.310000000000002,1,0,0,5,19.750999999999998,0.6666666666666666,0,33.87430298092722,4.284457050376173,2.270055610029662,4.469999999999999,1.7581844380403455,31.390491026869903,2
N-methylpyrrolidone,CN1CCCC1=O,-0.38,99.133,0.23859999999999992,0,1,20.310000000000002,0,0,1,7,26.870999999999988,0.8,1,90.08094399727418,5.276020881938894,3.304530452640311,4.624559505409582,1.5234757718400516,43.11454410213389,2
succinic acid,OC(=O)CCC(=O)O,0.2,118.088,-0.06420000000000009,2,2,74.6,3,0,0,8,24.505599999999994,0.5,0,92.60593781761291,6.568914100752346,3.625897657686229,6.9399999999999995,3.009687481832753,45.74558907549893,4
malonic acid,OC(=O)CC(=O)O,0.58,104.06099999999999,-0.4543,2,2,74.6,2,0,0,7,19.888599999999997,0.3333333333333333,0,83.10802962390817,5.8618073195657985,3.125897657686229,5.94,2.173434230067226,39.380646961102315,4
acrylamide,C=CC(N)=O,0.52,71.079,-0.3423,1,1,43.09,1,0,0,5,19.3914,0.0,0,57.91340299823497,4.284457050376173,2.270055610029662,4.21,1.5215264797507788,30.28094502149499,2
2-chloroaniline,Nc1ccccc1Cl,-1.8,127.574,1.9222,1,1,26.02,0,1,1,8,35.86440000000001,0.0,0,164.63833891467198,5.983127663125442,3.804530452640311,5.446798905608755,2.052669547891518,53.07456004339135,2
4-chloroaniline,Nc1ccc(Cl)cc1,-2.4,127.574,1.9222,1,1,26.02,0,1,1,8,35.86440000000002,0.0,0,147.38833891467198,5.983127663125442,3.787693700234704,5.446798905608755,2.052669547891518,53.07456004339135,2
"2,4-dichloroaniline",Clc1ccc(N)cc1Cl,-2.77,162.019,2.5755999999999997,1,1,26.02,0,1,1,9,40.87440000000001,0.0,0,222.29788705001033,6.8533711511285205,4.198377302757663,6.716279069767443,2.4602853745541022,63.377826270273026,3
"3,4-dichlorophenyl isocyanate",Clc1ccc(N=C=O)cc1Cl,-3.18,188.013,2.9607,0,2,29.43,1,1,1,11,44.243500000000004,0.0,0,318.2166542987258,8.267584713501616,5.236382105218447,8.278231827111984,3.5360505755490106,73.4597222735608,4
veratrole,COc1ccc(OC)cc1,-2.08,138.166,1.7038,0,2,18.46,2,1,1,10,39.546000000000014,0.25,0,167.91749419417292,7.397341225498538,4.863703305156274,6.933378684807257,3.1068549717952316,60.38837780730394,2
gamma-butyrolactone,O=C1CCCO1,-0.55,86.09,0.3234,0,2,26.3,0,0,1,6,20.192999999999994,0.75,1,59.94833690207419,4.405777393935816,2.893846850117352,3.6528153564899446,1.2857540807770496,36.10331354704079,2
2-butanol,CCC(C)O,0.1,74.12299999999999,0.7771999999999999,1,1,20.23,1,0,0,5,21.971799999999995,1.0,0,17.609640474436812,4.284457050376173,2.270055610029662,4.960000000000001,2.212525252525253,32.62831112321538,1
