name,smiles,family,mw,logp,hbd,hba,rotbonds,arom_rings,total_rings,tpsa,heavy_atoms,frac_csp3,mol_refractivity,nhoh,no_count,planarity_score,pi_extent,fp_density,bandgap_ev,abs_efficiency,fluoro_substitution,space_uv_factor
GUA_cation,NC(=N)N,perovskite,59.071999999999996,-1.1614300000000002,3,1,0,0,0,75.89,4,0.0,16.1015,5,3,0.0,0,0.01171875,0.8,0.41,0.0,0.0
Rubrene_unit,c1ccc(-c2cc3ccccc3cc2)cc1,acene,204.272,4.506800000000003,0,0,1,3,3,0.0,16,0.0,69.38400000000004,0,0,1.0,18,0.03515625,3.1,0.88,0.0,0.0
Rhodamine_B,CCN(CC)c1ccc2c(c1)OC1=CC(=[N+](CC)CC)C=CC1=C2c1ccccc1C(=O)O,dye,443.5670000000002,5.561000000000005,1,3,7,2,4,56.69,33,0.2857142857142857,135.14329999999998,1,5,0.6060606060606061,20,0.1015625,2.9,0.82,0.0,0.0
C60_unit,C12=C3C4=C5C1=C1C6=C7C2=C2C8=C3C3=C9C4=C4C%10=C5C5=C1C1=C6C6=C%11C7=C2C2=C7C8=C3C3=C8C9=C4C4=C9C%10=C5C5=C1C1=C6C%11=C2C7=C3C8=C4C9=C51,fullerene,600.5500000000002,14.775000000000007,0,0,0,26,26,0.0,50,0.0,217.30000000000015,0,0,1.0,156,0.005859375,3.5,0.88,0.0,0.0
Pentacene_aug0,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,288.2882830602246,6.257920709648648,0,0,0,5,5,0.0,22,0.0,96.46600000000004,0,0,1.0,30,0.036833069583058174,2.8,0.858,0.732,-0.01
Pentacene_aug1,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,268.9645122813009,6.462168013075792,0,0,0,5,5,0.0,22,0.0,96.46600000000004,0,0,0.948252465024609,30,0.010238624415180546,2.655,0.861,0.182,-0.072
Pentacene_aug2,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,258.09737759331153,6.3936741997785855,0,0,0,5,5,0.0,22,0.0,96.46600000000004,0,0,1.0,30,0.01,2.699,0.9,0.292,-0.045
Pentacene_aug3,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,267.4663455094963,6.332676776912963,0,0,0,5,5,0.0,22,0.0,96.46600000000004,0,0,0.981948801633118,30,0.05852993869017876,2.717,0.844,0.608,-0.074
Pentacene_aug4,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,278.0840555052413,5.982086721313233,0,0,0,5,5,0.0,22,0.0,96.46600000000004,0,0,1.0,30,0.01,2.742,0.875,0.034,0.036
Pentacene_aug5,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,251.79027902203137,6.35845837076074,0,0,0,5,5,0.0,22,0.008568414059498526,96.46600000000004,0,0,0.9965305515283528,30,0.015462301088214225,2.862,0.892,0.97,0.016
Pentacene_aug6,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,248.78356019265144,6.083446737481591,0,0,0,5,5,0.0,22,0.0,96.46600000000004,0,0,1.0,30,0.01378272939167367,2.778,0.877,0.829,-0.046
Pentacene_aug7,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,264.8155599938808,6.482902886652264,0,0,0,5,5,0.0,22,0.04656400595580993,96.46600000000004,0,0,0.9748234743033208,30,0.015300127482975708,2.723,0.881,0.006,0.022
Tetracene_aug0,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,234.91926862807125,5.438863538136711,0,0,0,4,4,0.0,18,0.0,78.96000000000002,0,0,1.0,24,0.04860917557141646,2.359,0.773,0.331,-0.09
Tetracene_aug1,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,226.8537975683933,5.447259869367611,0,0,0,4,4,0.0,18,0.07690182832329846,78.96000000000002,0,0,0.9989252188267015,24,0.05277724811628012,2.425,0.813,0.12,0.007
Tetracene_aug2,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,175.8990979182051,5.39277075131257,0,0,0,4,4,0.0,18,0.0,78.96000000000002,0,0,1.0,24,0.01,2.32,0.803,0.025,-0.084
Tetracene_aug3,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,223.90056224324974,5.253333771453527,0,0,0,4,4,0.0,18,0.0,78.96000000000002,0,0,1.0,24,0.02805939719319369,2.475,0.784,0.41,0.013
Tetracene_aug4,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,217.6987959246592,5.30018022993401,0,0,0,4,4,0.0,18,0.0,78.96000000000002,0,0,0.9882367554060353,24,0.01,2.515,0.797,0.893,-0.019
Tetracene_aug5,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,234.2164055412915,5.22451658165397,0,0,0,4,4,0.0,18,0.0,78.96000000000002,0,0,0.9897185645041969,24,0.01,2.378,0.758,0.007,-0.023
Tetracene_aug6,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,225.0682857666798,5.267415257044364,0,0,0,4,4,0.0,18,0.0,78.96000000000002,0,0,0.9424368635410287,24,0.020954097491015664,2.483,0.818,0.519,0.005
Tetracene_aug7,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,229.49860419882052,5.885172633745589,0,0,0,4,4,0.0,18,0.015077367116680625,78.96000000000002,0,0,0.9989586469088427,24,0.01,2.35,0.795,0.051,-0.058
Hexacene_aug0,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,351.27045629030044,7.678179909806035,0,0,0,6,6,0.0,26,0.0,113.97200000000004,0,0,1.0,36,0.06529348751619957,3.045,0.917,0.238,0.009
Hexacene_aug1,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,308.6032734973863,7.2827106811191715,0,0,0,6,6,0.0,26,0.0034281487403013664,113.97200000000004,0,0,0.9681308885882168,36,0.030956223612703632,2.995,0.824,0.041,-0.011
Hexacene_aug2,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,310.02551531532396,7.917580321505265,0,0,0,6,6,0.0,26,0.0,113.97200000000004,0,0,1.0,36,0.01,3.061,0.865,0.937,-0.079
Hexacene_aug3,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,332.96319869208264,7.844742826284731,0,0,0,6,6,0.0,26,0.03909114358886552,113.97200000000004,0,0,0.9628914786736575,36,0.01,3.016,0.888,0.53,-0.064
Hexacene_aug4,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,338.852831312338,7.5416954019699585,0,0,0,6,6,0.0,26,0.011612684858050178,113.97200000000004,0,0,1.0,36,0.01,3.15,0.867,0.887,0.017
Hexacene_aug5,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,365.72949022289515,7.594749876273539,0,0,0,6,6,0.0,26,0.039354230187122606,113.97200000000004,0,0,1.0,36,0.01,3.031,0.854,0.652,-0.066
Hexacene_aug6,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,347.68152258488647,7.576434278080953,0,0,0,6,6,0.0,26,0.0,113.97200000000004,0,0,0.9733145671112343,36,0.01,3.084,0.876,0.658,-0.015
Hexacene_aug7,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,326.871965811718,7.554945592444996,0,0,0,6,6,0.0,26,0.07267670385786584,113.97200000000004,0,0,0.9920602950028613,36,0.07588775833179237,3.128,0.888,0.892,-0.005
Chrysene_aug0,c1ccc2cc3ccccc3cc2c1,PAH,190.7473469553001,3.7358527330751174,0,0,0,3,3,0.0,14,0.024123620762159265,61.45400000000003,0,0,0.9932961164402244,18,0.03381125988184184,2.446,0.753,0.281,-0.096
Chrysene_aug1,c1ccc2cc3ccccc3cc2c1,PAH,187.69875249147086,3.97115132620294,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,0.9866045514379894,18,0.03665922588646944,2.672,0.774,0.964,0.028
Chrysene_aug2,c1ccc2cc3ccccc3cc2c1,PAH,182.51587488260404,3.6192783663864057,0,0,0,3,3,0.0,14,0.007686255297276396,61.45400000000003,0,0,1.0,18,0.01,2.645,0.772,0.936,0.004
Chrysene_aug3,c1ccc2cc3ccccc3cc2c1,PAH,185.3897472069656,4.161235357910472,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,1.0,18,0.029806969018244176,2.61,0.753,0.697,0.005
Chrysene_aug4,c1ccc2cc3ccccc3cc2c1,PAH,188.5349537261209,5.148819447196418,0,0,0,3,3,0.0,14,0.0325695625652899,61.45400000000003,0,0,0.9905419226607897,18,0.03471063440986535,2.617,0.825,0.798,-0.003
Chrysene_aug5,c1ccc2cc3ccccc3cc2c1,PAH,162.7774957092485,3.9219544179779993,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,1.0,18,0.01,2.492,0.861,0.578,-0.095
Chrysene_aug6,c1ccc2cc3ccccc3cc2c1,PAH,168.79536268421128,4.319685179090212,0,0,0,3,3,0.0,14,0.033979887446733796,61.45400000000003,0,0,0.978089001048486,18,0.023860421791639497,2.497,0.761,0.127,-0.022
Chrysene_aug7,c1ccc2cc3ccccc3cc2c1,PAH,179.14543679807622,3.797519895718257,0,0,0,3,3,0.0,14,0.009322715738471382,61.45400000000003,0,0,0.9801464060569484,18,0.036579916695924475,2.577,0.73,0.541,-0.004
Pyrene_aug0,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,186.40558523134595,4.549579067559932,0,0,0,4,4,0.0,16,0.043287759708506075,70.14600000000003,0,0,0.9639911077883268,24,0.014794350283181032,2.648,0.806,0.025,0.044
Pyrene_aug1,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,192.75709377678083,4.388001230227888,0,0,0,4,4,0.0,16,0.045893097352738804,70.14600000000003,0,0,1.0,24,0.04213368021102294,2.69,0.763,0.549,0.007
Pyrene_aug2,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,171.8686006809197,4.438729778140127,0,0,0,4,4,0.0,16,0.03873170267146684,70.14600000000003,0,0,0.9721920858526575,24,0.020293867878764,2.667,0.81,0.356,0.014
Pyrene_aug3,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,137.43065319861853,4.276683707599715,0,0,0,4,4,0.0,16,0.0,70.14600000000003,0,0,0.9867986653990904,24,0.024099186545721827,2.591,0.842,0.173,-0.035
Pyrene_aug4,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,231.0814657813223,4.153241354646171,0,0,0,4,4,0.0,16,0.02310517371316354,70.14600000000003,0,0,1.0,24,0.01,2.704,0.771,0.503,0.028
Pyrene_aug5,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,203.65204169980035,4.468405920941474,0,0,0,4,4,0.0,16,0.0,70.14600000000003,0,0,1.0,24,0.01,2.727,0.856,0.94,-0.014
Pyrene_aug6,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,199.2202980992883,4.760495161945375,0,0,0,4,4,0.0,16,0.0,70.14600000000003,0,0,0.9937563324892817,24,0.011624356306823343,2.78,0.818,0.961,0.036
Pyrene_aug7,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,190.46870486111575,4.83888062910631,0,0,0,4,4,0.0,16,0.015364976043830468,70.14600000000003,0,0,1.0,24,0.034076951838472244,2.622,0.819,0.118,0.005
Triphenylene_aug0,c1ccc2cc3ccccc3cc2c1,PAH,161.6540997815585,3.8249456879409114,0,0,0,3,3,0.0,14,0.0058663691654391,61.45400000000003,0,0,1.0,18,0.01,2.934,0.824,0.751,0.021
Triphenylene_aug1,c1ccc2cc3ccccc3cc2c1,PAH,189.1759476234007,3.9323422042698337,0,0,0,3,3,0.0,14,0.04067548180003193,61.45400000000003,0,0,1.0,18,0.01995132683265518,2.893,0.852,0.858,-0.036
Triphenylene_aug2,c1ccc2cc3ccccc3cc2c1,PAH,191.87305942589924,3.8999199730219654,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,1.0,18,0.03143439050873827,2.76,0.828,0.389,-0.098
Triphenylene_aug3,c1ccc2cc3ccccc3cc2c1,PAH,161.8695863353305,4.62071618270564,0,0,0,3,3,0.0,14,0.039583134698146796,61.45400000000003,0,0,1.0,18,0.0320981601852856,2.793,0.851,0.293,-0.051
Triphenylene_aug4,c1ccc2cc3ccccc3cc2c1,PAH,177.98906454306166,3.7238236885542526,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,0.9752350840962246,18,0.01310353316694013,2.791,0.84,0.058,-0.018
Triphenylene_aug5,c1ccc2cc3ccccc3cc2c1,PAH,186.49262908551245,3.8238826341588097,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,0.9858688508314504,18,0.024172248747152725,2.808,0.83,0.618,-0.085
Triphenylene_aug6,c1ccc2cc3ccccc3cc2c1,PAH,149.27231317005348,3.5707608676870355,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,1.0,18,0.04903837433899104,2.964,0.805,0.813,0.042
Triphenylene_aug7,c1ccc2cc3ccccc3cc2c1,PAH,195.38719246404034,3.945018441010974,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,1.0,18,0.01,2.791,0.812,0.111,-0.026
Fluorene_aug0,c1ccc2c(c1)Cc1ccccc1-2,PAH,176.60993028482343,3.7176216739007746,0,0,0,2,3,0.0,13,0.05686205332878511,54.684000000000026,0,0,0.9297996975312356,16,0.027595598015635898,2.101,0.74,0.962,-0.044
Fluorene_aug1,c1ccc2c(c1)Cc1ccccc1-2,PAH,168.1765219709766,3.0258970648433614,0,0,0,2,3,0.0,13,0.12488661822733726,54.684000000000026,0,0,0.9876723968022698,16,0.01199679874223901,2.124,0.763,0.969,-0.022
Fluorene_aug2,c1ccc2c(c1)Cc1ccccc1-2,PAH,183.66941273441356,3.312802601721507,0,0,0,2,3,0.0,13,0.03650816265531935,54.684000000000026,0,0,0.8978852678114998,16,0.015355897091119557,1.949,0.767,0.045,-0.058
Fluorene_aug3,c1ccc2c(c1)Cc1ccccc1-2,PAH,123.74508551380384,3.100073493495773,0,0,0,2,3,0.0,13,0.17073161888387123,54.684000000000026,0,0,0.9515896382225046,16,0.01580567688675194,1.999,0.722,0.584,-0.088
Fluorene_aug4,c1ccc2c(c1)Cc1ccccc1-2,PAH,148.25470657303282,3.405375751451953,0,0,0,2,3,0.0,13,0.1684960152157946,54.684000000000026,0,0,0.9584601266985617,16,0.017960236957905905,2.16,0.679,0.911,0.023
Fluorene_aug5,c1ccc2c(c1)Cc1ccccc1-2,PAH,131.96030941818242,3.663961712249625,0,0,0,2,3,0.0,13,0.13881389252175003,54.684000000000026,0,0,0.8752440933130922,16,0.015356249540924542,2.172,0.716,0.97,0.026
Fluorene_aug6,c1ccc2c(c1)Cc1ccccc1-2,PAH,166.32787399436364,3.271894178129424,0,0,0,2,3,0.0,13,0.10806557354045186,54.684000000000026,0,0,0.8910483101954453,16,0.02449616029957413,2.157,0.702,0.769,0.042
Fluorene_aug7,c1ccc2c(c1)Cc1ccccc1-2,PAH,168.62891263423796,3.412131650217626,0,0,0,2,3,0.0,13,0.14080691801800238,54.684000000000026,0,0,0.9330463434363109,16,0.012374019268868927,2.035,0.659,0.229,0.001
Coronene_aug0,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,331.38303951045054,6.953902390287859,0,0,0,7,7,0.0,24,0.08776704212216023,105.03600000000007,0,0,0.9925310755456278,42,0.03505641901908711,3.706,0.972,0.52,0.028
Coronene_aug1,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,313.267518991703,7.329789467259706,0,0,0,7,7,0.0,24,0.0,105.03600000000007,0,0,0.9645022446200268,42,0.01,3.638,0.946,0.704,-0.068
Coronene_aug2,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,294.9718633111089,7.13446267673879,0,0,0,7,7,0.0,24,0.0,105.03600000000007,0,0,0.9488985268193454,42,0.014514046022067625,3.695,0.959,0.514,0.018
Coronene_aug3,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,308.0413089787862,6.909391575571774,0,0,0,7,7,0.0,24,0.03348362744150193,105.03600000000007,0,0,1.0,42,0.01,3.623,0.871,0.493,-0.051
Coronene_aug4,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,290.0826616532662,6.601435943433317,0,0,0,7,7,0.0,24,0.025202325775892223,105.03600000000007,0,0,0.9840922714488268,42,0.01,3.706,0.888,0.897,-0.029
Coronene_aug5,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,298.2193928009089,6.60862730327419,0,0,0,7,7,0.0,24,0.0017631775985864307,105.03600000000007,0,0,0.9790082347602225,42,0.01990459821468444,3.586,0.963,0.206,-0.045
Coronene_aug6,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,298.11343900618346,6.852909120140035,0,0,0,7,7,0.0,24,0.0,105.03600000000007,0,0,0.9917484490854507,42,0.01,3.733,0.9,0.806,0.012
Coronene_aug7,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,270.056178756029,7.329262280233359,0,0,0,7,7,0.0,24,0.015562507727176806,105.03600000000007,0,0,1.0,42,0.038016498228691534,3.682,0.927,0.463,0.012
Perylene_aug0,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,239.76264817038467,2.3739178678198734,0,0,0,2,4,0.0,19,0.0,79.44900000000001,0,0,0.6121817608411452,20,0.0311034149277121,3.016,0.828,0.533,-0.064
Perylene_aug1,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,276.0638327014513,2.9250719270848364,0,0,0,2,4,0.0,19,0.009567368880955232,79.44900000000001,0,0,0.6772726696865108,20,0.06351257587369318,3.093,0.858,0.789,-0.025
Perylene_aug2,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,221.57607691347087,2.6034783965749186,0,0,0,2,4,0.0,19,0.14810241097087495,79.44900000000001,0,0,0.5896219201538467,20,0.06399375973381141,2.997,0.873,0.284,-0.046
Perylene_aug3,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,229.30814861756346,2.5144423848705926,0,0,0,2,4,0.0,19,0.01108407312681653,79.44900000000001,0,0,0.6396926521418161,20,0.05172961281101726,2.971,0.845,0.187,-0.057
Perylene_aug4,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,237.5420390626718,2.388310901387522,0,0,0,2,4,0.0,19,0.09040114023865622,79.44900000000001,0,0,0.6466064629971524,20,0.03318327010402898,3.175,0.842,0.969,0.03
Perylene_aug5,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,244.30764610858452,2.885996137011538,0,0,0,2,4,0.0,19,0.08116151237702639,79.44900000000001,0,0,0.6086811726721455,20,0.016636732986709618,3.028,0.832,0.572,-0.058
Perylene_aug6,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,209.77015124233674,2.675005483998416,0,0,0,2,4,0.0,19,0.0,79.44900000000001,0,0,0.6295965534090016,20,0.028514051004750865,3.009,0.861,0.115,-0.008
Perylene_aug7,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,229.28427784395683,2.6747996013949256,0,0,0,2,4,0.0,19,0.02378698547121098,79.44900000000001,0,0,0.6566497107303753,20,0.03014023790684764,2.971,0.877,0.337,-0.08
P3HT_unit_aug0,CCCCCCc1ccc(s1),donor,178.90108355830566,4.3033705861973734,0,1,5,1,1,0.0,11,0.5898477306978503,52.16500000000004,0,0,0.4656798307465938,6,0.03479529626568359,2.133,0.737,0.472,-0.038
P3HT_unit_aug1,CCCCCCc1ccc(s1),donor,170.036795749458,3.8241968293823794,0,1,5,1,1,0.0,11,0.5794061516938767,52.16500000000004,0,0,0.4399172678232797,6,0.03822383624360758,2.212,0.732,0.574,0.026
P3HT_unit_aug2,CCCCCCc1ccc(s1),donor,176.19404284756595,3.7446046557539243,0,1,5,1,1,0.0,11,0.583698823391608,52.16500000000004,0,0,0.49058187221037286,6,0.038713492539568975,2.178,0.749,0.665,-0.022
P3HT_unit_aug3,CCCCCCc1ccc(s1),donor,127.54250929644293,3.568474106724782,0,1,5,1,1,0.0,11,0.6838218656137641,52.16500000000004,0,0,0.4643532757583794,6,0.042492989423822715,2.115,0.72,0.463,-0.055
P3HT_unit_aug4,CCCCCCc1ccc(s1),donor,184.8931116236698,3.2075594072976377,0,1,5,1,1,0.0,11,0.6571877021603464,52.16500000000004,0,0,0.46470034677028693,6,0.03856924172198398,2.23,0.684,0.906,-0.006
P3HT_unit_aug5,CCCCCCc1ccc(s1),donor,180.9606373221257,4.552107857341322,0,1,5,1,1,0.0,11,0.5575077815267604,52.16500000000004,0,0,0.4794555290417819,6,0.029753323481822656,2.252,0.714,0.894,0.018
P3HT_unit_aug6,CCCCCCc1ccc(s1),donor,169.73632474438784,3.7276027659704685,0,1,5,1,1,0.0,11,0.5744991800572626,52.16500000000004,0,0,0.44644920648665337,6,0.027299725684353852,2.246,0.756,0.762,0.032
P3HT_unit_aug7,CCCCCCc1ccc(s1),donor,159.41913479847778,3.984090147913459,0,1,5,1,1,0.0,11,0.6677818929402475,52.16500000000004,0,0,0.46694850164216556,6,0.08441091625116132,2.143,0.741,0.229,0.008
DPP_core_aug0,O=C1c2ccccc2C(=O)N1c1ccccc1,donor,207.75521601792855,2.1138035890065754,0,2,1,2,3,37.38,17,0.07480221557445915,64.02400000000003,0,3,0.7255133226317982,16,0.0359976815817909,2.464,0.73,0.182,0.036
DPP_core_aug1,O=C1c2ccccc2C(=O)N1c1ccccc1,donor,228.8303725263964,2.1495532858104878,0,2,1,2,3,37.38,17,0.036288331194934596,64.02400000000003,0,3,0.7203126298932779,16,0.04158705548558263,2.468,0.793,0.506,-0.008
DPP_core_aug2,O=C1c2ccccc2C(=O)N1c1ccccc1,donor,207.42151089109376,2.6286405071407994,0,2,1,2,3,37.38,17,0.0,64.02400000000003,0,3,0.6761942083334191,16,0.03459363659800704,2.477,0.839,0.576,-0.009
DPP_core_aug3,O=C1c2ccccc2C(=O)N1c1ccccc1,donor,224.34549824577388,2.815457455541285,0,2,1,2,3,37.38,17,0.0,64.02400000000003,0,3,0.6755192216833715,16,0.01,2.449,0.787,0.591,-0.04
DPP_core_aug4,O=C1c2ccccc2C(=O)N1c1ccccc1,donor,239.69441167923827,2.509195390156522,0,2,1,2,3,37.38,17,0.08345107626446965,64.02400000000003,0,3,0.6980946124002684,16,0.01,2.404,0.777,0.346,-0.048
