compound,smiles,logP_exp,MW,LogP_rdkit,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms,MaxPartialCharge,MinPartialCharge,NumStereocenters,SlogP_VSA3,PEOE_VSA1
acetone,CC(C)=O,-0.24,58.080000000000005,0.5952999999999999,0,1,17.07,0,0,0,4,16.355,0.6666666666666666,0,26.264662506490403,3.5773502691896257,1.7320508075688772,3.67,1.0445318352059925,25.63065735666653,1,0.12626794356014373,-0.30034390268719197,0,4.794537184071822,4.794537184071822
dimethyl sulfoxide,CS(C)=O,-1.35,78.136,-0.005299999999999971,0,1,17.07,0,0,0,4,19.990399999999998,1.0,0,29.019550008653873,3.5773502691896257,1.7320508075688772,4.150000000000002,1.4674603174603182,28.478447345802074,2,0.014804214088221839,-0.2601579626577377,0,10.799569042904308,0.0
acetamide,CC(N)=O,-1.26,59.068,-0.5084000000000002,1,1,43.09,0,0,0,4,14.868400000000001,0.5,0,29.019550008653873,3.5773502691896257,1.7320508075688772,3.4699999999999998,0.8748582995951415,24.605605939282636,2,0.2137901795921754,-0.36992058791265336,0,4.794537184071822,5.733667477162185
methylamine,CN,-0.57,31.058,-0.4251,1,1,26.02,0,0,0,2,10.111400000000001,1.0,0,2.0,2.0,1.0,1.96,0.9600000000000016,14.079141724842266,1,-0.019502380004263062,-0.33326905475707136,0,0.0,5.733667477162185
dimethylamine,CNC,-0.38,45.085,-0.1644000000000001,1,1,12.03,0,0,0,3,14.983700000000002,1.0,0,2.7548875021634682,2.7071067811865475,1.4142135623730951,2.9600000000000004,1.96,20.6540553258342,1,-0.016745432546547857,-0.3227722106803942,0,0.0,5.316788604006331
trimethylamine,CN(C)C,0.16,59.111999999999995,0.17779999999999996,0,1,3.24,0,0,0,4,19.610999999999997,1.0,0,8.0,3.5773502691896257,1.7320508075688772,3.9600000000000004,1.297837837837838,27.228968926826138,1,-0.014001049782722104,-0.31243196593173367,0,0.0,4.899909730850478
pyridine,c1ccncc1,0.65,79.10199999999998,1.0816,0,1,12.89,0,1,1,6,24.236999999999995,0.0,0,75.86113958768547,4.242640687119286,3.0,3.3441747572815532,1.5525827127910268,36.651051100443475,1,0.02672876829526118,-0.264736970888988,0,0.0,0.0
imidazole,c1cnc[nH]1,-0.08,68.079,0.40969999999999995,1,1,28.68,0,1,1,5,18.5877,0.0,0,61.369930610534254,3.5355339059327378,2.5,2.4475296912114013,0.8845561128632765,29.860211521457774,2,0.09190960426066128,-0.35117678564585386,0,0.0,4.9839785209472085
caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,-0.07,194.194,-1.0293,0,3,61.82,0,2,2,14,51.19600000000001,0.375,0,616.5285919942219,10.455665446700477,6.5365812602091875,8.73523326923911,2.5679479011227926,79.02895701814933,6,0.3317034326359889,-0.3278634660994821,0,21.143015948031568,4.567099647791355
ascorbic acid,OCC1OC(=O)C(O)=C1O,-1.85,146.09799999999998,-0.7682999999999998,3,5,86.99000000000001,1,0,1,10,29.249399999999994,0.4,1,194.2149912200411,7.723614639131599,4.663902460147014,6.8840250855188145,2.1838186050533226,56.161353885841166,5,0.3774843799684719,-0.5050566439133214,1,9.53140013787187,20.056445138322168
citric acid,OC(CC(=O)O)(CC(=O)O)C(=O)O,-1.72,192.123,-1.2484999999999995,4,4,132.13,5,0,0,13,37.09119999999999,0.5,0,227.36732222044088,10.646264369941973,5.7763801118468425,11.370000000000001,3.853986625290123,72.22546290872793,7,0.3364194912829884,-0.48113877492695273,0,14.383611552215466,20.426109579362823
1-propanol,CCCO,0.25,60.096,0.3887,1,1,20.23,1,0,0,4,17.376800000000003,1.0,0,5.245112497836532,3.414213562373095,1.914213562373095,3.9600000000000004,2.9600000000000004,26.26336900881878,1,0.04278927992053378,-0.39638735063233616,0,0.0,5.106527394840706
2-propanol,CC(O)C,0.05,60.096000000000004,0.3871,1,1,20.23,0,0,0,4,17.3548,1.0,0,8.0,3.5773502691896257,1.7320508075688772,3.9600000000000004,1.297837837837838,26.263369008818778,1,0.04834761180869219,-0.3937069016405105,0,0.0,5.106527394840706
1-butanol,CCCCO,0.88,74.12299999999999,0.7787999999999999,1,1,20.23,2,0,0,5,21.993799999999997,1.0,0,11.119415478763749,4.121320343559642,2.414213562373095,4.960000000000001,3.9600000000000004,32.62831112321538,1,0.043042283485206966,-0.39637675206921097,0,0.0,5.106527394840706
acrylic acid,OC(=O)C=C,0.46,72.06300000000002,0.25700000000000006,1,1,37.3,1,0,0,5,17.8328,0.0,0,55.91340299823497,4.284457050376173,2.270055610029662,4.21,1.5215264797507788,29.735288076678287,2,0.32719811224525835,-0.4780891485530972,0,4.794537184071822,5.106527394840706
propionic acid,CCC(=O)O,0.33,74.079,0.481,1,1,37.3,1,0,0,5,17.9268,0.6666666666666666,0,40.1577218810798,4.284457050376173,2.270055610029662,4.469999999999999,1.7581844380403455,30.42489110886254,2,0.30255843749205596,-0.4812379170193394,0,4.794537184071822,5.106527394840706
butyric acid,CCCC(=O)O,0.79,88.10599999999998,0.8711,1,1,37.3,2,0,0,6,22.543799999999994,0.75,0,49.50977500432694,4.99156383156272,2.770055610029662,5.469999999999999,2.693713646532438,36.78983322325915,2,0.30282893657949883,-0.48123051640943176,0,4.794537184071822,5.106527394840706
lactic acid,CC(O)C(=O)O,-0.72,90.07799999999999,-0.5482,2,2,57.53,1,0,0,6,19.3166,0.6666666666666666,0,57.058650025961626,5.1547005383792515,2.6427344100918364,5.43,1.7676338396942162,35.21912486105855,3,0.3317230795714236,-0.4793355989963274,1,4.794537184071822,10.213054789681411
acetonitrile,CC#N,-0.34,41.053,0.52988,0,1,23.79,0,0,0,3,11.287,0.5,0,24.264662506490403,2.7071067811865475,1.4142135623730951,2.490000000000001,1.4900000000000018,19.496772823694872,1,0.05871482377124906,-0.1986584259265234,0,0.0,0.0
diethyl ether,CCOCC,0.89,74.123,1.0428000000000002,0,1,9.23,2,0,0,5,22.166999999999994,1.0,0,11.119415478763749,4.121320343559642,2.414213562373095,4.960000000000001,3.9600000000000004,32.94762260052625,1,0.043708412524692805,-0.3820258357826421,0,4.736862953800049,4.736862953800049
tetrahydrofuran,C1CCOC1,0.46,72.107,0.7968,0,1,9.23,0,0,1,5,20.052999999999997,1.0,1,15.219280948873621,3.5355339059327378,2.5,3.1616129032258065,1.4103121748178982,31.941791446997026,1,0.046638169849841704,-0.3814493819627182,0,4.736862953800049,4.736862953800049
ethyl acetate,CCOC(C)=O,0.73,88.106,0.5694,0,2,26.3,1,0,0,6,22.30699999999999,0.75,0,49.50977500432694,4.99156383156272,2.770055610029662,5.469999999999999,2.693713646532438,37.10914470057002,2,0.3021127777269908,-0.4661718899744166,0,9.53140013787187,4.736862953800049
methyl acetate,COC(C)=O,0.18,74.079,0.17930000000000001,0,2,26.3,0,0,0,5,17.689999999999998,0.6666666666666666,0,40.1577218810798,4.284457050376173,2.270055610029662,4.469999999999999,1.7581844380403455,30.74420258617341,2,0.3018471669894446,-0.46919810705104836,0,9.53140013787187,4.736862953800049
acetophenone,CC(=O)c1ccccc1,1.58,120.15099999999995,1.8892,0,1,17.07,1,1,1,9,36.44650000000001,0.125,0,201.06743705866424,6.69023444431199,4.304530452640311,6.016742712294044,2.4437525520871133,54.32280944833394,1,0.15929849657429365,-0.2945122071568907,0,0.0,0.0
benzaldehyde,O=Cc1ccccc1,1.48,106.12399999999997,1.4990999999999999,0,1,17.07,1,1,1,8,31.829499999999992,0.0,0,167.00151696675914,5.819990956308912,3.931851652578137,5.035137880986937,2.262450086021194,47.95786733393734,1,0.14954802883036308,-0.2978964116504968,0,0.0,0.0
aniline,Nc1ccccc1,0.9,93.12899999999999,1.2688000000000001,1,1,26.02,0,1,1,7,30.8544,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.18611295681063,1.6461962159398054,42.771293816509676,1,0.03134759259121864,-0.39872882948659094,0,0.0,5.733667477162185
phenol,Oc1ccccc1,1.46,94.11299999999999,1.3921999999999999,1,1,20.23,0,1,1,7,28.106799999999993,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.18611295681063,1.6461962159398054,42.22563687169298,1,0.11507481947527982,-0.5079669948663066,0,0.0,5.106527394840706
nitrobenzene,O=[N+]([O-])c1ccccc1,1.85,123.11099999999996,1.5948,0,2,43.14,1,1,1,9,33.0964,0.0,0,207.5576620543373,6.69023444431199,4.304530452640311,5.751233595800525,2.2593342006647616,52.08437884199676,3,0.2689216270439583,-0.2583096384435056,0,0.0,0.0
benzoic acid,OC(=O)c1ccccc1,1.87,122.12299999999996,1.3848,1,1,37.3,1,1,1,9,33.4013,0.0,0,203.415952604261,6.69023444431199,4.304530452640311,5.820039011703511,2.306763635550358,52.75210108613335,2,0.3351782346710392,-0.47763925058011736,0,0.0,5.106527394840706
salicylic acid,OC(=O)c1ccccc1O,2.26,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,1,10,35.066100000000006,0.0,0,254.78306142431708,7.560477932315068,4.71521405516327,6.607785630153122,2.389632707443791,57.54633483832936,3,0.33896908736073095,-0.507052890945198,0,0.0,10.213054789681411
phenylalanine,NC(Cc1ccccc1)C(=O)O,-1.38,165.19199999999995,0.641,2,2,63.32000000000001,3,1,1,12,45.75720000000002,0.2222222222222222,0,258.4908622767174,8.974691494688164,5.698377302757663,8.743896713615024,3.8752009284976325,70.82187601193928,3,0.32031550163956013,-0.48007770020344237,1,11.21535880699783,10.84019487200289
tryptophan,NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.06,204.22899999999998,1.1223000000000003,3,2,79.11,3,2,2,15,57.61390000000001,0.18181818181818182,0,490.0485079143074,10.836498814253964,7.1815405503520555,9.733912004652456,3.744477633359755,86.71270096468879,4,0.32031692105916915,-0.4800776923593587,1,11.21535880699783,15.8241733929501
caprolactam,O=C1CCCCCN1,-0.55,113.16000000000001,0.6766000000000001,1,1,29.1,0,0,1,8,31.477699999999988,0.8333333333333334,1,80.52932501298082,5.819990956308912,3.893846850117352,5.603868808567603,2.6984359410043637,49.26951472993517,2,0.21949405032902752,-0.3561070295708626,0,4.794537184071822,5.316788604006331
morpholine,C1COCCN1,-0.86,87.122,-0.3938000000000001,1,2,21.259999999999998,0,0,1,6,23.688699999999994,1.0,1,23.019550008653873,4.242640687119286,3.0,4.088918918918919,2.157216946676406,37.49165363060507,2,0.05910807224558097,-0.37881251357971846,0,4.736862953800049,10.05365155780638
piperidine,C1CCNCC1,0.84,85.15,0.7599,1,1,12.03,0,0,1,6,26.72069999999999,1.0,1,19.40990953421706,4.242640687119286,3.0,4.127785234899329,2.189674338993739,38.743050515494794,1,-0.004891140011689818,-0.3167325809905548,0,0.0,5.316788604006331
quinoline,c1ccnc2ccccc12,2.03,129.16199999999995,2.2348,0,1,12.89,0,2,2,10,41.74300000000002,0.0,0,275.7051383449476,6.811554787871634,4.9663264951887856,5.41760450263056,2.102543034625171,59.33271563217868,1,0.07014348447327305,-0.25626672847773607,0,0.0,0.0
indole,c1ccc2[nH]ccc2c1,2.14,117.15099999999997,2.1678999999999995,1,0,15.79,0,2,2,9,38.29870000000001,0.0,0,278.54542122074673,6.104448006685086,4.4663264951887856,4.621116323679656,1.6217242815493544,53.322228072246475,1,0.04533934729771151,-0.3611762912891017,0,0.0,4.9839785209472085
pyrimidine,c1ccncn1,-0.4,80.08999999999999,0.47659999999999986,0,2,25.78,0,1,1,6,22.031999999999996,0.0,0,77.47078006212229,4.242640687119286,3.0,3.2768503937007876,1.4998028396056793,35.870699081389986,2,0.11475741217610112,-0.2448319095615807,0,0.0,0.0
benzene,c1ccccc1,2.13,78.11399999999999,1.6866,0,0,0.0,0,1,1,6,26.441999999999993,0.0,0,71.96100505779535,4.242640687119286,3.0,3.4115708812260532,1.6057694396735218,37.43140311949697,0,-0.062268570782092456,-0.062268570782092456,0,0.0,0.0
toluene,Cc1ccccc1,2.73,92.14099999999999,1.99502,0,0,0.0,0,1,1,7,31.17899999999999,0.14285714285714285,0,129.96566024533826,5.112884175122364,3.393846850117352,4.380771704180065,1.7832860398554335,43.79634523389357,0,-0.039774526323627504,-0.06224908578199481,0,0.0,0.0
ethylbenzene,CCc1ccccc1,3.15,106.16799999999996,2.2490000000000006,0,0,0.0,1,1,1,8,35.82,0.25,0,141.38429890473827,5.819990956308912,3.931851652578137,5.358504155124653,2.50834780755501,50.16128734829017,0,-0.03074408282510195,-0.06224874165506165,0,6.4208216229260096,0.0
o-xylene,Cc1ccccc1C,3.12,106.16799999999999,2.30344,0,0,0.0,0,1,1,8,35.916,0.25,0,156.14811391899892,5.983127663125442,3.804530452640311,5.358504155124653,1.9937447122872558,50.16128734829018,0,-0.039511492179969666,-0.06198519188632999,0,0.0,0.0
styrene,C=Cc1ccccc1,2.95,104.15199999999997,2.3296,0,0,0.0,1,1,1,8,36.53300000000001,0.0,0,162.65300142116237,5.819990956308912,3.931851652578137,5.10367816091954,2.3141072195146584,49.47168431610592,0,-0.02625578937784246,-0.09847005004016512,0,0.0,0.0
anisole,COc1ccccc1,2.11,108.13999999999997,1.6952,0,1,9.23,1,1,1,8,32.99399999999999,0.14285714285714285,0,145.73281445033504,5.819990956308912,3.931851652578137,5.162450142450142,2.3586048594225155,48.90989046340045,1,0.11835771513702235,-0.4967685686134767,0,0.0,4.736862953800049
cyclohexane,C1CCCCC1,3.44,84.162,2.3406000000000002,0,0,0.0,0,0,1,6,27.701999999999984,1.0,1,15.509775004326936,4.242640687119286,3.0,4.166666666666667,2.2222222222222223,39.55813044628337,0,-0.0533059727891157,-0.0533059727891157,0,0.0,0.0
cyclohexanol,OC1CCCCC1,1.23,100.161,1.3114,1,1,20.23,0,0,1,7,29.091799999999985,1.0,1,46.14170945007629,5.112884175122364,3.393846850117352,5.10367816091954,2.3141072195146584,44.35236419847938,1,0.053984774844812504,-0.39313138246784024,0,0.0,5.106527394840706
cyclohexanone,O=C1CCCCC1,0.81,98.14500000000001,1.5196,0,1,17.07,0,0,1,7,28.091999999999985,0.8333333333333334,1,68.24920506009684,5.112884175122364,3.393846850117352,4.8199250374812594,2.101967961325131,43.719652546327126,1,0.13241132759858107,-0.2997179089731855,0,4.794537184071822,0.0
hexane,CCCCCC,3.9,86.178,2.5866000000000007,0,0,0.0,3,0,0,6,29.81599999999998,1.0,0,12.0,4.82842712474619,2.914213562373095,6.0,5.0,40.563961599812586,0,-0.05357870225236844,-0.06538238459812357,0,0.0,0.0
heptane,CCCCCCC,4.5,100.205,2.976700000000002,0,0,0.0,4,0,0,7,34.432999999999986,1.0,0,19.219280948873624,5.535533905932738,3.414213562373095,7.0,6.0,46.92890371420919,0,-0.05332609175221321,-0.06538238322804024,0,0.0,0.0
pentane,CCCCC,3.39,72.151,2.1965000000000003,0,0,0.0,2,0,0,5,25.19899999999999,1.0,0,7.5097750043269365,4.121320343559642,2.414213562373095,5.0,4.0,34.19901948541599,0,-0.05383131543183678,-0.06538255537938412,0,0.0,0.0
1-hexanol,CCCCCCO,2.03,102.17699999999999,1.559,1,1,20.23,4,0,0,7,31.22779999999998,1.0,0,23.360990398949916,5.535533905932738,3.414213562373095,6.96,5.959999999999999,45.35819535200859,1,0.04305240583871402,-0.396376569347818,0,0.0,5.106527394840706
1-octanol,CCCCCCCCO,3.0,130.23100000000002,2.3392000000000013,1,1,20.23,6,0,0,9,40.461800000000004,1.0,0,37.832293921787276,6.949747468305834,4.414213562373095,8.960000000000003,7.960000000000003,58.08807958080182,1,0.04305240722887934,-0.3963765693422825,0,0.0,5.106527394840706
chlorobenzene,Clc1ccccc1,2.84,112.55899999999997,2.34,0,0,0.0,0,1,1,7,31.451999999999998,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.663609831029186,1.9871232675119368,47.73466934637863,1,0.04054844089419866,-0.08434447652490142,0,0.0,0.0
bromobenzene,Brc1ccccc1,2.99,157.01,2.4491000000000005,0,0,0.0,0,1,1,7,34.142,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.849253731343284,2.123680215888008,51.298950725138326,1,0.017475282511436593,-0.0621899905650267,0,0.0,0.0
fluorobenzene,Fc1ccccc1,2.27,96.10399999999998,1.8256999999999999,0,0,0.0,0,1,1,7,26.399999999999995,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.31260162601626,1.7349674800723753,41.596938522423194,1,0.12270724034937247,-0.20701252212638083,0,0.0,0.0
chloroform,ClC(Cl)Cl,1.97,119.37800000000001,1.9864,0,0,0.0,0,0,0,4,21.346999999999998,1.0,0,8.0,3.5773502691896257,1.7320508075688772,4.87,2.128397932816538,39.64904970847457,3,0.18010663547779673,-0.08741152777904436,0,0.0,0.0
dichloromethane,ClCCl,1.25,84.93299999999999,1.4215,0,0,0.0,0,0,0,3,16.573,1.0,0,2.7548875021634682,2.7071067811865475,1.4142135623730951,3.5799999999999996,2.58,29.3457834815929,2,0.09670639037649198,-0.10913232990050524,0,0.0,0.0
carbon tetrachloride,ClC(Cl)(Cl)Cl,2.83,153.823,2.5529,0,0,0.0,0,0,0,5,26.143,1.0,0,19.11941547876375,4.5,2.0,6.16,1.7418482569208207,49.952315935356246,4,0.26568521128753525,-0.06642130282188381,0,0.0,0.0
naphthalene,c1ccc2ccccc2c1,3.3,128.17399999999995,2.839800000000001,0,0,0.0,0,2,2,10,43.94800000000003,0.0,0,271.01518240905483,6.811554787871634,4.9663264951887856,5.482229779997874,2.143052886105772,60.11306765123217,0,-0.018404250672442266,-0.06162971144687501,0,0.0,0.0
1-naphthol,Oc1cccc2ccccc12,2.84,144.17299999999997,2.5454000000000008,1,1,20.23,0,2,2,11,45.61280000000003,0.0,0,374.03449039867843,7.681798275874712,5.377010097711745,6.22562358276644,2.274078478002378,64.90730140342818,1,0.12289872819208321,-0.5073115174760925,0,0.0,5.106527394840706
acetaminophen,CC(=O)Nc1ccc(O)cc1,0.46,151.165,1.3505999999999998,2,2,49.33,1,1,1,11,42.41050000000002,0.125,0,253.29949758389105,8.267584713501616,5.1815405503520555,7.595374077976819,3.0531381005525,64.66690538413799,3,0.22074743631242583,-0.5079643157925783,0,4.794537184071822,10.423315998847038
aspirin,CC(=O)Oc1ccccc1C(=O)O,1.19,180.15899999999996,1.3101,1,3,63.60000000000001,2,1,1,13,44.71030000000002,0.1111111111111111,0,343.2228677267164,9.844934982691242,6.109060905280622,9.249605734767023,3.7092512583454584,74.75705264447721,4,0.33900378687731025,-0.4775395271554559,0,4.794537184071822,9.843390348640755
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,3.97,206.28499999999997,3.073200000000001,1,1,37.3,4,1,1,15,61.03480000000004,0.46153846153846156,0,324.8941190021566,11.422285251880869,7.002907755397974,11.763046018991963,4.964460295417243,90.94175377251302,2,0.3101853515323108,-0.4807885019257389,1,11.21535880699783,5.106527394840706
4-chlorophenol,Oc1ccc(Cl)cc1,2.39,128.558,2.0456,1,1,20.23,0,1,1,8,33.1168,0.0,0,147.38833891467198,5.983127663125442,3.787693700234704,5.446798905608755,2.052669547891518,52.52890309857465,2,0.11517975998882711,-0.5079651858460357,0,0.0,5.106527394840706
2-nitrophenol,Oc1ccccc1[N+](=O)[O-],1.79,139.10999999999999,1.3004000000000002,1,3,63.370000000000005,1,1,1,10,34.7612,0.0,0,258.9247708743934,7.560477932315068,4.71521405516327,6.538764845605701,2.344994095834573,56.87861259419278,4,0.3101887839338801,-0.502092705332494,0,0.0,5.106527394840706
4-nitrophenol,Oc1ccc([N+](=O)[O-])cc1,1.91,139.11,1.3003999999999998,1,3,63.370000000000005,1,1,1,10,34.76120000000001,0.0,0,241.67477087439332,7.560477932315068,4.698377302757663,6.538764845605701,2.344994095834573,56.878612594192774,4,0.2691949560161654,-0.5079581647909615,0,0.0,5.106527394840706
vanillin,COc1ccc(C=O)cc1O,1.21,152.14899999999997,1.2132999999999998,1,3,46.53,2,1,1,11,40.046300000000016,0.125,0,268.03972257956417,8.267584713501616,5.274386907679232,7.595374077976819,3.0531381005525,64.23058843003683,3,0.16002216895223326,-0.5042389139064142,0,0.0,9.843390348640755
coumarin,O=C1OC2=CC=CC=C2C=C1,1.39,146.14499999999998,1.793,0,2,30.21,0,2,2,11,42.484000000000016,0.0,0,428.5108208761056,7.681798275874712,5.360173345306137,6.160248407637458,2.234974333040861,63.07940657528497,2,0.33569031616433825,-0.4227294736611369,0,0.0,4.417150937053347
atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,2.61,215.68800000000002,1.7770999999999997,2,5,62.730000000000004,4,1,1,14,57.75940000000002,0.625,0,301.78315486014867,10.55204176387779,6.613392202930193,10.977519379844964,4.95024333881867,88.3180482284173,6,0.22849708692226087,-0.3543182635074518,0,0.0,10.633577208012662
biphenyl,c1ccc(-c2ccccc2)cc1,3.76,154.21199999999996,3.353600000000001,0,0,0.0,1,2,2,12,51.87800000000003,0.0,0,297.4313204906765,8.225768350244728,5.9663264951887856,7.108736857548047,3.2249464015776437,72.48849732556099,0,-0.018404256076149473,-0.062225394893666276,0,0.0,0.0
diphenyl ether,c1ccc(Oc2ccccc2)cc1,4.21,170.21099999999998,3.478900000000001,0,1,9.23,2,2,2,13,52.958000000000034,0.0,0,315.89864866417315,8.932875131431276,6.449489742783179,7.866895638429664,3.7642110484220974,77.60204255506788,1,0.1269277489093993,-0.45738459774589524,0,0.0,4.736862953800049
fluorene,C1c2ccccc2-c2ccccc21,4.18,166.22299999999998,3.2578000000000014,0,0,0.0,0,2,3,13,54.684000000000026,0.07692307692307693,1,411.60041905516795,8.673362107437432,6.449489742783179,6.902850765306124,2.4617954580094508,77.84760828642837,0,-0.0013455207947278415,-0.06193924489982633,0,6.4208216229260096,0.0
p-cresol,Cc1ccc(O)cc1,1.94,108.13999999999999,1.7006199999999998,1,1,20.23,0,1,1,8,32.843799999999995,0.14285714285714285,0,143.24662946459569,5.983127663125442,3.787693700234704,5.162450142450142,1.8646221994975438,48.59057898608958,1,0.11509448895139268,-0.5079666481555334,0,0.0,5.106527394840706
thiophenol,Sc1ccccc1,2.52,110.18099999999997,1.9752999999999996,1,1,0.0,0,1,1,7,33.694,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.7222070015220705,2.0299990576722062,48.58646978289869,1,0.003992005065301783,-0.14342689229770952,0,0.0,0.0
thiophene,c1ccsc1,1.81,84.14299999999999,1.7480999999999998,0,1,0.0,0,1,1,5,24.318999999999996,0.0,0,60.12481811269772,3.5355339059327378,2.5,2.9127659574468083,1.2210502489814397,35.07176638990846,1,-0.009338438056026077,-0.152454341484825,0,0.0,0.0
dimethyl sulfide,CSC,1.05,62.137,0.9792,0,1,0.0,0,0,0,3,19.438999999999997,1.0,0,2.7548875021634682,2.7071067811865475,1.4142135623730951,3.3499999999999996,2.35,25.2273031675914,1,-0.01867821188826557,-0.1688616875245137,0,0.0,0.0
"N,N-dimethylaniline",CN(C)c1ccccc1,2.31,121.18299999999995,1.7526,0,1,3.24,1,1,1,9,40.76900000000002,0.25,0,167.1823264341432,6.69023444431199,4.304530452640311,6.144688279301746,2.533930223385564,55.92112101849355,1,0.03604872581555625,-0.37766147871275463,0,0.0,4.899909730850478
anthracene,c1ccc2cc3ccccc3cc2c1,4.45,178.23399999999995,3.993000000000002,0,0,0.0,0,3,3,14,61.45400000000003,0.0,0,488.75909858914036,9.38046888862398,6.932652990377571,7.571439103526888,2.8450836230123144,82.79473218296737,0,-0.01776516776969768,-0.061629349784588755,0,0.0,0.0
phenanthrene,c1ccc2c(c1)ccc1ccccc12,4.46,178.23399999999998,3.993000000000002,0,0,0.0,0,3,3,14,61.454000000000036,0.0,0,539.0090985891403,9.38046888862398,6.949489742783178,7.571439103526888,2.8450836230123144,82.79473218296738,0,-0.010541535082874729,-0.06162899271080029,0,0.0,0.0
